Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stockholm;98210;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1786-02-01 00:00:00;2016-03-02 10:00:00;44.0;59.342;18.0575

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1801-11-01 06:00:01;1801-12-01 06:00:00;1801-11;85.0;G
1801-12-02 06:00:01;1802-01-01 06:00:00;1801-12;66.0;G
1802-01-02 06:00:01;1802-02-01 06:00:00;1802-01;5.0;G
1802-01-30 06:00:01;1802-03-01 06:00:00;1802-02;29.0;G
1802-03-02 06:00:01;1802-04-01 06:00:00;1802-03;9.0;G
1802-04-01 06:00:01;1802-05-01 06:00:00;1802-04;40.0;G
1802-05-02 06:00:01;1802-06-01 06:00:00;1802-05;132.0;G
1802-06-01 06:00:01;1802-07-01 06:00:00;1802-06;30.0;G
1802-07-02 06:00:01;1802-08-01 06:00:00;1802-07;77.0;G
1802-08-02 06:00:01;1802-09-01 06:00:00;1802-08;29.0;G
1802-09-01 06:00:01;1802-10-01 06:00:00;1802-09;54.0;G
1802-10-02 06:00:01;1802-11-01 06:00:00;1802-10;79.0;G
1802-11-01 06:00:01;1802-12-01 06:00:00;1802-11;60.0;G
1802-12-02 06:00:01;1803-01-01 06:00:00;1802-12;13.0;G
1803-01-02 06:00:01;1803-02-01 06:00:00;1803-01;12.0;G
1803-01-30 06:00:01;1803-03-01 06:00:00;1803-02;39.0;G
1803-03-02 06:00:01;1803-04-01 06:00:00;1803-03;15.0;G
1803-04-01 06:00:01;1803-05-01 06:00:00;1803-04;51.0;G
1803-05-02 06:00:01;1803-06-01 06:00:00;1803-05;31.0;G
1803-06-01 06:00:01;1803-07-01 06:00:00;1803-06;54.0;G
1803-07-02 06:00:01;1803-08-01 06:00:00;1803-07;89.0;G
1803-08-02 06:00:01;1803-09-01 06:00:00;1803-08;21.0;G
1803-09-01 06:00:01;1803-10-01 06:00:00;1803-09;32.0;G
1803-10-02 06:00:01;1803-11-01 06:00:00;1803-10;37.0;G
1803-11-01 06:00:01;1803-12-01 06:00:00;1803-11;63.0;G
1803-12-02 06:00:01;1804-01-01 06:00:00;1803-12;55.0;G
1804-01-02 06:00:01;1804-02-01 06:00:00;1804-01;25.0;G
1804-01-31 06:00:01;1804-03-01 06:00:00;1804-02;14.0;G
1804-03-02 06:00:01;1804-04-01 06:00:00;1804-03;10.0;G
1804-04-01 06:00:01;1804-05-01 06:00:00;1804-04;21.0;G
1804-05-02 06:00:01;1804-06-01 06:00:00;1804-05;14.0;G
1804-06-01 06:00:01;1804-07-01 06:00:00;1804-06;106.0;G
1804-07-02 06:00:01;1804-08-01 06:00:00;1804-07;106.0;G
1804-08-02 06:00:01;1804-09-01 06:00:00;1804-08;100.0;G
1804-09-01 06:00:01;1804-10-01 06:00:00;1804-09;9.0;G
1804-10-02 06:00:01;1804-11-01 06:00:00;1804-10;37.0;G
1804-11-01 06:00:01;1804-12-01 06:00:00;1804-11;32.0;G
1804-12-02 06:00:01;1805-01-01 06:00:00;1804-12;13.0;G
1805-01-02 06:00:01;1805-02-01 06:00:00;1805-01;6.0;G
1805-01-30 06:00:01;1805-03-01 06:00:00;1805-02;9.0;G
1805-03-02 06:00:01;1805-04-01 06:00:00;1805-03;13.0;G
1805-04-01 06:00:01;1805-05-01 06:00:00;1805-04;22.0;G
1805-05-02 06:00:01;1805-06-01 06:00:00;1805-05;68.0;G
1805-06-01 06:00:01;1805-07-01 06:00:00;1805-06;87.0;G
1805-07-02 06:00:01;1805-08-01 06:00:00;1805-07;71.0;G
1805-08-02 06:00:01;1805-09-01 06:00:00;1805-08;29.0;G
1805-09-01 06:00:01;1805-10-01 06:00:00;1805-09;86.0;G
1805-10-02 06:00:01;1805-11-01 06:00:00;1805-10;14.0;G
1805-11-01 06:00:01;1805-12-01 06:00:00;1805-11;2.0;G
1805-12-02 06:00:01;1806-01-01 06:00:00;1805-12;39.0;G
1806-01-02 06:00:01;1806-02-01 06:00:00;1806-01;53.0;G
1806-01-30 06:00:01;1806-03-01 06:00:00;1806-02;13.0;G
1806-03-02 06:00:01;1806-04-01 06:00:00;1806-03;23.0;G
1806-04-01 06:00:01;1806-05-01 06:00:00;1806-04;31.0;G
1806-05-02 06:00:01;1806-06-01 06:00:00;1806-05;45.0;G
1806-06-01 06:00:01;1806-07-01 06:00:00;1806-06;100.0;G
1806-07-02 06:00:01;1806-08-01 06:00:00;1806-07;51.0;G
1806-08-02 06:00:01;1806-09-01 06:00:00;1806-08;37.0;G
1806-09-01 06:00:01;1806-10-01 06:00:00;1806-09;54.0;G
1806-10-02 06:00:01;1806-11-01 06:00:00;1806-10;82.0;G
1806-11-01 06:00:01;1806-12-01 06:00:00;1806-11;106.0;G
1806-12-02 06:00:01;1807-01-01 06:00:00;1806-12;96.0;G
1807-01-02 06:00:01;1807-02-01 06:00:00;1807-01;15.0;G
1807-01-30 06:00:01;1807-03-01 06:00:00;1807-02;12.0;G
1807-03-02 06:00:01;1807-04-01 06:00:00;1807-03;3.0;G
1807-04-01 06:00:01;1807-05-01 06:00:00;1807-04;47.0;G
1807-05-02 06:00:01;1807-06-01 06:00:00;1807-05;69.0;G
1807-06-01 06:00:01;1807-07-01 06:00:00;1807-06;91.0;G
1807-07-02 06:00:01;1807-08-01 06:00:00;1807-07;30.0;G
1807-08-02 06:00:01;1807-09-01 06:00:00;1807-08;80.0;G
1807-09-01 06:00:01;1807-10-01 06:00:00;1807-09;88.0;G
1807-10-02 06:00:01;1807-11-01 06:00:00;1807-10;79.0;G
1807-11-01 06:00:01;1807-12-01 06:00:00;1807-11;72.0;G
1807-12-02 06:00:01;1808-01-01 06:00:00;1807-12;35.0;G
1808-01-02 06:00:01;1808-02-01 06:00:00;1808-01;26.0;G
1808-01-31 06:00:01;1808-03-01 06:00:00;1808-02;22.0;G
1808-03-02 06:00:01;1808-04-01 06:00:00;1808-03;2.0;G
1808-04-01 06:00:01;1808-05-01 06:00:00;1808-04;88.0;G
1808-05-02 06:00:01;1808-06-01 06:00:00;1808-05;20.0;G
1808-06-01 06:00:01;1808-07-01 06:00:00;1808-06;40.0;G
1808-07-02 06:00:01;1808-08-01 06:00:00;1808-07;34.0;G
1808-08-02 06:00:01;1808-09-01 06:00:00;1808-08;251.0;G
1808-09-01 06:00:01;1808-10-01 06:00:00;1808-09;115.0;G
1808-10-02 06:00:01;1808-11-01 06:00:00;1808-10;92.0;G
1808-11-01 06:00:01;1808-12-01 06:00:00;1808-11;12.0;G
1808-12-02 06:00:01;1809-01-01 06:00:00;1808-12;32.0;G
1809-01-02 06:00:01;1809-02-01 06:00:00;1809-01;22.0;G
1809-01-30 06:00:01;1809-03-01 06:00:00;1809-02;42.0;G
1809-03-02 06:00:01;1809-04-01 06:00:00;1809-03;4.0;G
1809-04-01 06:00:01;1809-05-01 06:00:00;1809-04;17.0;G
1809-05-02 06:00:01;1809-06-01 06:00:00;1809-05;44.0;G
1809-06-01 06:00:01;1809-07-01 06:00:00;1809-06;96.0;G
1809-07-02 06:00:01;1809-08-01 06:00:00;1809-07;43.0;G
1809-08-02 06:00:01;1809-09-01 06:00:00;1809-08;26.0;G
1809-09-01 06:00:01;1809-10-01 06:00:00;1809-09;70.0;G
1809-10-02 06:00:01;1809-11-01 06:00:00;1809-10;42.0;G
1809-11-01 06:00:01;1809-12-01 06:00:00;1809-11;28.0;G
1809-12-02 06:00:01;1810-01-01 06:00:00;1809-12;56.0;G
1810-01-02 06:00:01;1810-02-01 06:00:00;1810-01;26.0;G
1810-01-30 06:00:01;1810-03-01 06:00:00;1810-02;40.0;G
1810-03-02 06:00:01;1810-04-01 06:00:00;1810-03;15.0;G
1810-04-01 06:00:01;1810-05-01 06:00:00;1810-04;20.0;G
1810-05-02 06:00:01;1810-06-01 06:00:00;1810-05;33.0;G
1810-06-01 06:00:01;1810-07-01 06:00:00;1810-06;88.0;G
1810-07-02 06:00:01;1810-08-01 06:00:00;1810-07;77.0;G
1810-08-02 06:00:01;1810-09-01 06:00:00;1810-08;72.0;G
1810-09-01 06:00:01;1810-10-01 06:00:00;1810-09;20.0;G
1810-10-02 06:00:01;1810-11-01 06:00:00;1810-10;41.0;G
1810-11-01 06:00:01;1810-12-01 06:00:00;1810-11;49.0;G
1810-12-02 06:00:01;1811-01-01 06:00:00;1810-12;62.0;G
1811-01-02 06:00:01;1811-02-01 06:00:00;1811-01;10.0;G
1811-01-30 06:00:01;1811-03-01 06:00:00;1811-02;12.0;G
1811-03-02 06:00:01;1811-04-01 06:00:00;1811-03;12.0;G
1811-04-01 06:00:01;1811-05-01 06:00:00;1811-04;35.0;G
1811-05-02 06:00:01;1811-06-01 06:00:00;1811-05;48.0;G
1811-06-01 06:00:01;1811-07-01 06:00:00;1811-06;50.0;G
1811-07-02 06:00:01;1811-08-01 06:00:00;1811-07;66.0;G
