Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Väse D;93210;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1972-08-01 00:00:00;2016-02-29 23:59:59;55.0;59.3675;13.8534

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;113.5;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;55.4;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;84.8;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;68.3;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;32.4;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;75.7;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;76.3;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;59.1;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;99.0;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;70.6;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;78.9;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;124.2;Y
